INFO: 2025/11/27 16:48:53 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:55 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:57 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:48:59 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:01 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:03 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:05 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:07 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:09 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:11 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:13 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:15 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:17 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:19 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:21 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:23 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:25 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:27 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:29 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:31 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:33 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:35 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:37 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:39 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:41 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:43 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:45 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:47 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:49 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:51 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:53 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:55 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:57 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:49:59 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:50:01 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:50:03 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:50:05 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:50:07 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:50:09 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:50:11 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:50:13 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:50:15 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:50:17 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:50:19 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:50:21 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:50:23 main.go:50: Checked http://www.google.com, Status: 200
INFO: 2025/11/27 16:50:25 main.go:50: Checked http://www.google.com, Status: 200
